,source.ip,destination.ip,TotalConnections,Score,Skew score,MAD score,Count score,process.name,process.executable
48,2001:4958:3138:1401:cc06:7d70:34b9:cfc8,2001:4958:300:4b1:0:0:b896:2741,9,0.9005,0.9473684210526316,0.8833333333333333,0.8707093378739214,msedge.exe,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
27,192.168.2.238,20.44.10.122,7,0.8619,0.7272727272727273,0.9,0.9584982697239027,Code.exe,C:\Users\fredj\AppData\Local\Programs\Microsoft VS Code\Code.exe
37,192.168.2.238,35.193.143.25,676,0.8321,0.8421052631578947,0.8666666666666667,0.7874822932975472,filebeat.exe | metricbeat.exe | elastic-agent.exe,C:\Program Files\Elastic\Agent\data\elastic-agent-de80b0\components\metricbeat.exe | C:\Program Files\Elastic\Agent\data\elastic-agent-de80b0\components\filebeat.exe | C:\Program Files\Elastic\Agent\data\elastic-agent-de80b0\elastic-agent.exe
44,192.168.2.238,52.168.117.170,9,0.8111,0.5,0.9333333333333333,1.0,Code.exe,C:\Users\fredj\AppData\Local\Programs\Microsoft VS Code\Code.exe
51,2001:4958:3138:1401:cc06:7d70:34b9:cfc8,2620:1ec:c11:0:0:0:0:237,12,0.7125,0.6,0.7666666666666666,0.7707761644607956,msedge.exe,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
50,2001:4958:3138:1401:cc06:7d70:34b9:cfc8,2001:4958:733:0:0:0:0:1,39,0.6773,0.6129032258064516,0.7166666666666667,0.7022323149729063,svchost.exe,C:\Windows\System32\svchost.exe
55,2001:4958:3138:1401:d969:1a6e:1244:e656,2001:4958:733:0:0:0:0:1,416,0.6669,0.736842105263158,0.7333333333333334,0.5304291849715131,brave.exe | svchost.exe | msedge.exe,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe | C:\Users\fredj\AppData\Local\BraveSoftware\Brave-Browser\Application\brave.exe | C:\Windows\System32\svchost.exe
2,169.254.165.60,239.255.255.250,51,0.6667,0.0,1.0,1.0,msedge.exe,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
3,172.27.80.1,239.255.255.250,51,0.6667,0.0,1.0,1.0,msedge.exe,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
29,192.168.2.238,20.54.24.246,7,0.6667,0.0,1.0,1.0,svchost.exe,C:\Windows\System32\svchost.exe
33,192.168.2.238,239.255.255.250,51,0.6667,0.0,1.0,1.0,msedge.exe,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
19,192.168.2.238,20.189.173.23,14,0.6381,1.0,0.9,0.014204737618203709,Code.exe,C:\Users\fredj\AppData\Local\Programs\Microsoft VS Code\Code.exe
40,192.168.2.238,51.132.193.105,12,0.6365,0.5,0.95,0.4596468380127935,Code.exe,C:\Users\fredj\AppData\Local\Programs\Microsoft VS Code\Code.exe
10,192.168.2.238,140.82.112.6,11,0.6072,0.7555555555555555,0.7666666666666666,0.29935917084671376,brave.exe,C:\Users\fredj\AppData\Local\BraveSoftware\Brave-Browser\Application\brave.exe
18,192.168.2.238,20.189.173.2,11,0.6064,0.88,0.9,0.03922877030088863,Code.exe,C:\Users\fredj\AppData\Local\Programs\Microsoft VS Code\Code.exe
42,192.168.2.238,52.168.117.168,10,0.6061,0.4,0.9666666666666667,0.4515997922640956,Code.exe,C:\Users\fredj\AppData\Local\Programs\Microsoft VS Code\Code.exe
22,192.168.2.238,20.189.173.27,14,0.6057,0.8571428571428572,0.8,0.16009056551992268,Code.exe,C:\Users\fredj\AppData\Local\Programs\Microsoft VS Code\Code.exe
34,192.168.2.238,34.213.100.46,7,0.5878,0.873836276083467,0.0,0.8896965881766178,brave.exe,C:\Users\fredj\AppData\Local\BraveSoftware\Brave-Browser\Application\brave.exe
54,2001:4958:3138:1401:d969:1a6e:1244:e656,2001:4958:732:0:0:0:0:1,2772,0.5746,0.8571428571428572,0.8666666666666667,0.0,brave.exe | msedgewebview2.exe | Discord.exe | Code.exe | svchost.exe | msedge.exe,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe | C:\Windows\System32\svchost.exe | C:\Users\fredj\AppData\Local\BraveSoftware\Brave-Browser\Application\brave.exe | C:\Program Files (x86)\Microsoft\EdgeWebView\Application\123.0.2420.81\msedgewebview2.exe | C:\Users\fredj\AppData\Local\Programs\Microsoft VS Code\Code.exe | C:\Users\fredj\AppData\Local\Discord\app-1.0.9039\Discord.exe
8,192.168.2.238,13.89.179.14,13,0.5665,0.75,0.8666666666666667,0.08291964630670429,Code.exe,C:\Users\fredj\AppData\Local\Programs\Microsoft VS Code\Code.exe
23,192.168.2.238,20.189.173.4,29,0.5569,0.8085106382978724,0.8166666666666667,0.0453727133717037,Code.exe,C:\Users\fredj\AppData\Local\Programs\Microsoft VS Code\Code.exe
26,192.168.2.238,20.42.73.27,8,0.5566,0.0,1.0,0.6698204044040691,Code.exe,C:\Users\fredj\AppData\Local\Programs\Microsoft VS Code\Code.exe
72,224.0.0.251,192.168.2.11,14,0.5523,0.8235294117647058,0.8333333333333334,0.0,svchost.exe | msedge.exe,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe | C:\Windows\System32\svchost.exe
49,2001:4958:3138:1401:cc06:7d70:34b9:cfc8,2001:4958:732:0:0:0:0:1,248,0.55,0.75,0.9,0.0,brave.exe | svchost.exe | msedge.exe | Discord.exe,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe | C:\Users\fredj\AppData\Local\BraveSoftware\Brave-Browser\Application\brave.exe | C:\Windows\System32\svchost.exe | C:\Users\fredj\AppData\Local\Discord\app-1.0.9039\Discord.exe
4,192.168.2.238,104.208.16.92,9,0.5307,0.0,1.0,0.592209159501667,Code.exe,C:\Users\fredj\AppData\Local\Programs\Microsoft VS Code\Code.exe
24,192.168.2.238,20.189.173.9,20,0.5266,0.5714285714285714,0.9,0.1082782805950433,Code.exe,C:\Users\fredj\AppData\Local\Programs\Microsoft VS Code\Code.exe
38,192.168.2.238,40.79.150.120,12,0.5139,0.23529411764705888,0.9,0.40651324555658436,Code.exe,C:\Users\fredj\AppData\Local\Programs\Microsoft VS Code\Code.exe
0,0:0:0:0:0:0:0:1,0:0:0:0:0:0:0:1,981,0.5,0.6666666666666667,0.8333333333333334,0.0,brave.exe | wslrelay.exe | curl.exe | python3.12.exe | winlogbeat.exe,C:\Program Files\WSL\wslrelay.exe | C:\Users\fredj\OneDrive\Desktop\repo\cpy\SEG491X-T64-Capstone\winlogbeat\winlogbeat.exe | C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.752.0_x64__qbz5n2kfra8p0\python3.12.exe | C:\Users\fredj\AppData\Local\BraveSoftware\Brave-Browser\Application\brave.exe | C:\Users\fredj\OneDrive\Desktop\repo\SEG491X-T64-Capstone\winlogbeat\winlogbeat.exe | C:\Program Files\Git\mingw64\bin\curl.exe
20,192.168.2.238,20.189.173.25,13,0.4799,0.5333333333333333,0.8666666666666667,0.03960030096228732,Code.exe,C:\Users\fredj\AppData\Local\Programs\Microsoft VS Code\Code.exe
