,source.ip,destination.ip,TotalConnections,Score,Skew score,MAD score,Count score,process.name,process.executable
8,192.168.2.26,208.67.222.222,170,0.9889,1.0,0.9666666666666667,1.0,python3.13.exe,C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.13_3.13.496.0_x64__qbz5n2kfra8p0\python3.13.exe
10,192.168.2.26,34.67.212.1,131,0.8778,0.6666666666666667,0.9666666666666667,1.0,winlogbeat.exe,C:\Users\Adel\Desktop\winlogbeat\winlogbeat.exe
2,10.200.72.101,13.107.3.128,7,0.788,0.6341463414634146,0.8833333333333333,0.8464611253346233,msedgewebview2.exe,C:\Program Files (x86)\Microsoft\EdgeWebView\Application\130.0.2849.80\msedgewebview2.exe
7,172.20.10.6,34.67.212.1,142,0.6667,0.0,1.0,1.0,winlogbeat.exe,C:\Users\Adel\Desktop\winlogbeat\winlogbeat.exe
15,2001:4958:2808:c301:eb:d707:229c:c053,2607:f8b0:400b:803:0:0:0:200a,11,0.6525,0.47058823529411764,0.9666666666666667,0.5201314514031729,chrome.exe,C:\Program Files\Google\Chrome\Application\chrome.exe
1,10.200.72.101,10.8.0.10,241,0.5524,0.8571428571428572,0.8,0.0,svchost.exe | chrome.exe | msedgewebview2.exe,C:\Windows\System32\svchost.exe | C:\Program Files (x86)\Microsoft\EdgeWebView\Application\130.0.2849.80\msedgewebview2.exe | C:\Program Files\Google\Chrome\Application\chrome.exe
19,2605:8d80:5a1:ac2d:68d5:105a:1f9e:d459,2607:f8b0:4020:800:0:0:0:200e,10,0.5488,0.8448844884488449,0.0,0.8015712978584414,chrome.exe,C:\Program Files\Google\Chrome\Application\chrome.exe
6,172.20.10.6,172.20.10.1,357,0.4254,0.7096774193548387,0.5666666666666667,0.0,chrome.exe | svchost.exe | msedgewebview2.exe,C:\Windows\System32\svchost.exe | C:\Program Files (x86)\Microsoft\EdgeWebView\Application\130.0.2849.80\msedgewebview2.exe | C:\Program Files\Google\Chrome\Application\chrome.exe
13,2001:4958:2808:c301:eb:d707:229c:c053,2001:4958:732:0:0:0:0:1,460,0.4062,0.5185185185185186,0.7,0.0,svchost.exe | chrome.exe | Code.exe | msedgewebview2.exe,C:\Windows\System32\svchost.exe | C:\Users\Adel\AppData\Local\Programs\Microsoft VS Code\Code.exe | C:\Program Files (x86)\Microsoft\EdgeWebView\Application\130.0.2849.80\msedgewebview2.exe | C:\Program Files\Google\Chrome\Application\chrome.exe
14,2001:4958:2808:c301:eb:d707:229c:c053,2001:4958:733:0:0:0:0:1,539,0.3935,0.4137931034482759,0.7666666666666666,0.0,chrome.exe | svchost.exe,C:\Windows\System32\svchost.exe | C:\Program Files\Google\Chrome\Application\chrome.exe
